G,S,Lifetime,G 1-3,S 1-3,Lifetime 1-3,Chi^2,Total intensity,Chi^2 1-3,Total intensity 1-3,Mask label,FOV,Date,FastFLIM,FastFLIM 1-3,Int 570-590,Int 590-610,Int 610-638,Int 638-720,Int 1/(1-4),Int 2/(1-4),Int 3/(1-4),Int 4/(1-4)
0.27878185,0.474646858,3.564662327,0.001646886,2.751899861,0.27557119,0.473500207,940877,3.579569468,940877,54,mix,240609,940877,2.764248878,425093,172443,162003,181338,0.451805071,0.183279005,0.172182974,0.19273295
0.27606035,0.472828614,3.569558493,0.001505666,2.768793269,0.272478943,0.471751497,953942,3.599392993,953942,55,mix,240609,953942,2.78258142,411808,175079,169443,197612,0.431690816,0.183532122,0.177624006,0.207153055
0.450476845,0.494277392,2.311369949,0.000843208,2.141542382,0.448719882,0.492055637,5348406,2.294266418,5348406,56,mix,240609,5348406,2.150645744,954370,1495937,1418127,1479972,0.178440081,0.279697727,0.265149467,0.276712725
0.235306343,0.461874085,4.041115848,0.005427622,2.92406609,0.232429701,0.461688047,353968,4.085283929,353968,57,mix,240609,353968,2.932497044,115818,78130,80373,79647,0.327199069,0.220726167,0.227062898,0.225011865
0.288119146,0.477322328,3.484244607,0.001093219,2.715276622,0.284603288,0.476166082,1790804,3.513530928,1790804,58,mix,240609,1790804,2.729290305,722731,352636,334627,380810,0.403579063,0.196914905,0.186858528,0.212647504
0.285407026,0.476069296,3.519964264,0.000297025,2.733621512,0.281621362,0.47478862,4531728,3.546605371,4531728,59,mix,240609,4531728,2.748360154,1819444,866093,841042,1005149,0.401490116,0.191117605,0.185589691,0.221802588
0.45354876,0.494663208,2.314296313,0.002717511,2.133642376,0.450264633,0.493297061,528003,2.319109091,528003,60,mix,240609,528003,2.147224792,105788,156893,136003,129319,0.200354922,0.297144145,0.257579976,0.244920957
0.448630708,0.494268605,2.318530188,0.001137973,2.147751042,0.445623334,0.4928924,2161999,2.319261328,2161999,61,mix,240609,2161999,2.160213302,424291,635582,561952,540174,0.196249397,0.293978859,0.259922414,0.249849329
0.446530396,0.494936665,2.346185497,0.00153497,2.155061574,0.444424035,0.493526604,669057,2.344362483,669057,62,mix,240609,669057,2.165032114,135590,200415,173387,159665,0.202658368,0.299548469,0.259151313,0.23864185
0.449662226,0.494657769,2.319393225,0.000814446,2.143705513,0.447373166,0.492920349,4757687,2.309375575,4757687,63,mix,240609,4757687,2.153798118,886514,1392426,1255912,1222835,0.186332981,0.292668685,0.263975331,0.257023003
0.288691522,0.475857898,3.456796984,0.000702819,2.722582887,0.284961018,0.474300863,2293519,3.47270501,2293519,64,mix,240609,2293519,2.737605507,934220,438398,423322,497579,0.407330395,0.191146444,0.184573138,0.216950023
0.442363603,0.494242319,2.361372336,0.000568965,2.170403415,0.43946494,0.492878848,3268859,2.361022207,3268859,65,mix,240609,3268859,2.182442678,636485,975913,854541,801920,0.194711672,0.298548515,0.26141874,0.245321074
0.262600116,0.469394368,3.728730363,0.000776264,2.821229985,0.259894328,0.468068757,1428210,3.73929935,1428210,66,mix,240609,1428210,2.832689829,581677,285599,275204,285730,0.407276941,0.199969892,0.192691551,0.200061616
0.241208716,0.463183219,3.974534333,0.000309022,2.903400003,0.237829528,0.461698243,6579874,3.99788104,6579874,67,mix,240609,6579874,2.916980112,1988138,1512602,1518368,1560766,0.302154418,0.229883125,0.230759434,0.237203022
0.445572776,0.493475212,2.327085292,0.001896022,2.158666312,0.441850649,0.491838381,650842,2.323762843,650842,68,mix,240609,650842,2.173309189,131322,195286,168951,155283,0.201772473,0.300051318,0.259588349,0.23858786
0.237974682,0.463075841,3.98394866,0.010254542,2.905246727,0.235390446,0.463107103,210126,3.982442965,210126,69,mix,240609,210126,2.904381575,68266,46440,48077,47343,0.324881262,0.221010251,0.228800815,0.225307673
0.240821625,0.463186787,3.967551708,0.000757842,2.903564833,0.237487886,0.461674937,3326876,3.995476433,3326876,70,mix,240609,3326876,2.917775952,990152,768813,769662,798249,0.297622154,0.231091571,0.231346765,0.239939511
0.327488442,0.476695306,2.953470335,0.001129096,2.588223179,0.324757795,0.475475343,3492492,2.959230241,3492492,71,mix,240609,3492492,2.599593376,880284,884399,850505,877304,0.252050398,0.25322864,0.243523822,0.251197139
0.448783193,0.494689179,2.327712899,0.000783633,2.147412186,0.446329645,0.492862683,5412994,2.317169822,5412994,72,mix,240609,5412994,2.15823397,1020746,1546778,1419483,1425987,0.188573274,0.285752765,0.262236204,0.263437757
0.449287656,0.494231525,2.315267983,0.000895172,2.145606308,0.44702494,0.492445317,5668344,2.307057564,5668344,73,mix,240609,5668344,2.155986086,1066284,1604628,1490513,1506919,0.188112084,0.283085854,0.262953872,0.265848191
0.45071282,0.49440596,2.312031298,0.000872811,2.140908213,0.448552536,0.492748506,8963163,2.305501351,8963163,74,mix,240609,8963163,2.151088547,1772047,2543700,2331656,2315760,0.197703311,0.283794906,0.260137632,0.258364151
0.275734555,0.47262335,3.583655111,0.00174626,2.771650191,0.272699682,0.471449243,747288,3.609556146,747288,75,mix,240609,747288,2.78428453,332277,136061,128980,149970,0.444643832,0.182073043,0.172597446,0.200685679
0.283760527,0.47507697,3.528583363,0.00172827,2.741923265,0.280172558,0.474149416,1019220,3.561409591,1019220,76,mix,240609,1019220,2.755453478,431668,189172,183822,214558,0.423527796,0.185604678,0.180355566,0.21051196
0.246649329,0.464839958,3.897910209,0.000278029,2.881323548,0.242897935,0.463266547,8193180,3.92945761,8193180,77,mix,240609,8193180,2.896927752,2273218,1885232,1930123,2104607,0.277452467,0.230097715,0.235576785,0.256873033
0.241570133,0.463369141,3.956670495,0.000457738,2.900574398,0.238108645,0.461801018,4618536,3.97908384,4618536,78,mix,240609,4618536,2.914876086,1396547,1040974,1067350,1113665,0.302378719,0.22539047,0.231101371,0.24112944
0.449127525,0.494332898,2.322240293,0.000748951,2.146855458,0.446761314,0.492472931,4256926,2.31021727,4256926,79,mix,240609,4256926,2.157324376,778388,1216011,1128346,1134181,0.182852133,0.285654719,0.26506122,0.266431928
0.446585561,0.49479464,2.330912892,0.002541008,2.152716522,0.442977469,0.49374737,541285,2.338419042,541285,80,mix,240609,541285,2.166253617,104421,160232,141627,135005,0.19291316,0.296021504,0.261649593,0.249415742
0.447285599,0.494078699,2.327409915,0.000746416,2.152779749,0.444829143,0.492395207,4358083,2.318102216,4358083,81,mix,240609,4358083,2.163284602,797476,1260721,1157136,1142750,0.182987795,0.289283384,0.265514906,0.262213914
0.236644052,0.462413129,4.06398515,0.001548336,2.920828062,0.234193516,0.461155201,948133,4.078354741,948133,82,mix,240609,948133,2.931515815,314478,213258,214060,206337,0.331681315,0.22492414,0.225770013,0.217624532
0.449380335,0.494104375,2.317005121,0.000949213,2.146124802,0.446166177,0.492664009,2600034,2.314989997,2600034,83,mix,240609,2600034,2.159099869,525013,777698,674373,622950,0.201925436,0.299110704,0.259370839,0.239593021
0.448435167,0.494023516,2.31926434,0.000863093,2.149249427,0.446248739,0.492090229,5543257,2.308448974,5543257,84,mix,240609,5543257,2.159605778,1053440,1561934,1452329,1475554,0.190039899,0.28177189,0.261999218,0.266188993
0.235665075,0.462099011,4.056336364,0.001852856,2.922870961,0.232286544,0.46123619,1016493,4.0973229,1016493,85,mix,240609,1016493,2.935000251,336703,228443,229910,221437,0.331239861,0.224736422,0.22617962,0.217844097
0.235382473,0.464390267,4.116402145,0.004199516,2.912847794,0.232279235,0.463075516,486755,4.122249624,486755,86,mix,240609,486755,2.924353135,165130,109298,108767,103560,0.339246644,0.224544175,0.223453277,0.212755904
0.282606034,0.473985619,3.51227079,0.000667163,2.746924757,0.279685742,0.472987341,2334647,3.535924054,2334647,87,mix,240609,2334647,2.758702649,1052515,433641,403269,445222,0.450824043,0.18574157,0.172732323,0.190702063
0.248083942,0.464224964,3.844570696,0.000429276,2.877696873,0.245370237,0.46289474,3745942,3.858833753,3745942,88,mix,240609,3745942,2.889220271,1117598,853128,871023,904193,0.298348987,0.227747253,0.232524422,0.241379338
0.292459049,0.477544114,3.444959569,0.000549776,2.707416081,0.288708995,0.476036528,3677940,3.462692434,3677940,89,mix,240609,3677940,2.722398106,1441144,717651,694087,825058,0.39183456,0.195123085,0.188716238,0.224326117
0.282276464,0.474642457,3.53839905,0.000447389,2.747218717,0.278791779,0.473441575,2717111,3.566347978,2717111,90,mix,240609,2717111,2.761226403,1186156,515700,483596,531659,0.436550439,0.189797178,0.177981687,0.195670696
0.281496294,0.474169887,3.52766077,0.000567281,2.749300585,0.278596348,0.473213538,2900718,3.55271785,2900718,91,mix,240609,2900718,2.76119126,1267933,542603,513216,576966,0.437110053,0.18705817,0.17692723,0.198904547
0.446467529,0.494240095,2.334771912,0.000771121,2.156043338,0.443714215,0.492637894,4124830,2.326970861,4124830,92,mix,240609,4124830,2.167349019,781535,1187895,1086125,1069275,0.189470839,0.287986414,0.263313882,0.259228865
0.440073665,0.494499447,2.369522914,0.001051468,2.177150861,0.437552989,0.492733353,2165561,2.359232393,2165561,93,mix,240609,2165561,2.188103552,419481,640378,569387,536315,0.193705465,0.29570998,0.262928174,0.247656381
0.23261588,0.461468209,4.123532429,0.008918324,2.934679479,0.229358327,0.46077515,181268,4.194855652,181268,94,mix,240609,181268,2.948227329,58965,40705,41289,40309,0.325291833,0.22455701,0.227778759,0.222372399
0.237082231,0.46207346,3.973825606,0.008401395,2.908987567,0.233854742,0.459991264,179746,3.939325912,179746,95,mix,240609,179746,2.921573942,60731,40180,40470,38365,0.337871218,0.223537659,0.225151046,0.213440077
0.283996341,0.474073949,3.48455759,0.000929902,2.741512561,0.281797943,0.474610353,1799993,3.505981944,1799993,96,mix,240609,1799993,2.740629165,756723,342476,327590,373204,0.420403302,0.190265184,0.181995152,0.207336362
0.444930429,0.494349216,2.34335767,0.000962075,2.160789973,0.442281594,0.492901592,1886799,2.340079524,1886799,97,mix,240609,1886799,2.172044385,359038,562594,498656,466511,0.19028948,0.298173785,0.264286763,0.247249972
0.447747555,0.494699488,2.332295376,0.000700621,2.150900457,0.445306808,0.492980164,9935290,2.323392809,9935290,98,mix,240609,9935290,2.161620002,1906293,2904983,2606160,2517854,0.191870897,0.292390358,0.26231343,0.253425315
0.448881341,0.49542578,2.335584128,0.001018661,2.14603127,0.445969428,0.494106106,1096414,2.335794197,1096414,99,mix,240609,1096414,2.157977378,217299,326267,284780,268068,0.198190647,0.297576463,0.259737654,0.244495236
0.237964019,0.462196785,3.982052555,0.009999426,2.914661848,0.235673213,0.461721427,199969,4.038480151,199969,100,mix,240609,199969,2.924908361,65309,44589,45918,44153,0.326595622,0.222979562,0.229625592,0.220799224
0.338769717,0.481355781,2.939667147,0.000775661,2.544468152,0.332739579,0.479581679,2468017,2.963742003,2468017,101,mix,240609,2468017,2.567285168,821780,550734,521447,574056,0.332971775,0.223148382,0.21128177,0.232598074
0.44773551,0.494363034,2.330032292,0.000888535,2.151242576,0.445155079,0.492577193,2620514,2.320635615,2620514,102,mix,240609,2620514,2.162561141,497606,764556,690876,667476,0.189888701,0.291758029,0.263641408,0.254711862
0.43964156,0.493273391,2.364199782,0.001005204,2.181323027,0.437408897,0.492098582,1200305,2.365320551,1200305,103,mix,240609,1200305,2.190962328,231150,351299,315607,302249,0.192576054,0.292674778,0.262939003,0.251810165
0.289698097,0.476684911,3.472679596,0.000336598,2.718604437,0.286340385,0.47557214,5855574,3.496875529,5855574,104,mix,240609,5855574,2.731922153,2408299,1157003,1083386,1206886,0.411283164,0.197590023,0.185017899,0.206108914
0.237414706,0.461914995,3.996720297,0.0007083,2.916605949,0.23496287,0.460729759,2730680,4.011611142,2730680,105,mix,240609,2730680,2.926884122,905934,621927,617628,585191,0.33176132,0.227755358,0.226181025,0.214302298
0.250815183,0.465213092,3.812035423,0.000509936,2.866365315,0.247237114,0.463768911,4932141,3.840036016,4932141,106,mix,240609,4932141,2.880736599,1494350,1134314,1147045,1156432,0.302982011,0.229984098,0.23256533,0.23446856
0.279309983,0.473058155,3.54309,0.001437754,2.759884438,0.276973434,0.472011615,1084313,3.552858695,1084313,107,mix,240609,1084313,2.769977981,479990,200510,190581,213232,0.442667385,0.18491893,0.17576198,0.196651705
0.253247342,0.465939505,3.790706269,0.000366427,2.857500719,0.249799375,0.464542732,7950989,3.815662694,7950989,108,mix,240609,7950989,2.871589923,2280926,1839685,1858109,1972269,0.286873243,0.231378134,0.23369533,0.248053292
0.28774316,0.476014491,3.479130437,0.000373209,2.726347328,0.283818242,0.47459943,4296415,3.5066793,4296415,109,mix,240609,4296415,2.742195658,1750578,839488,801075,905274,0.407450863,0.19539267,0.186451961,0.210704506
0.448716124,0.494345705,2.321376127,0.000804626,2.147383248,0.446305348,0.49287195,4127422,2.314645791,4127422,110,mix,240609,4127422,2.157460948,825142,1213153,1073680,1015447,0.199917043,0.293925118,0.260133323,0.246024516
0.241354125,0.463561053,3.97037423,0.000393212,2.901349531,0.238001721,0.462262468,6210893,4.001191919,6210893,111,mix,240609,6210893,2.914800409,1847881,1426863,1439508,1496641,0.297522595,0.229735563,0.231771502,0.24097034
0.239691564,0.46547929,4.069843908,0.004244058,2.897929977,0.2374858,0.462266675,378954,4.036835097,378954,112,mix,240609,378954,2.919588035,125175,85296,85828,82655,0.330317136,0.225082728,0.226486592,0.218113544
